No.,Player,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
1,Lionel Messi,7,692,0.7,-,1.4,-,-,0.3,-,-,8.25
2,Bruno Fernandes,4,357,1,0.5,0.5,0.3,1,0.8,0.3,-,8.15
3,Kylian Mbappé,6(1),598,-,-,1,-,-,-,-,-,8.00
4,Wojciech Szczesny,4,360,-,-,0.3,-,1.5,-,-,-,7.88
5,Jean-Charles Castelletto,2,180,1.5,3,0.5,-,6,0.5,0.5,-,7.71
6,Bukayo Saka,4,293,1.8,0.5,1.8,-,0.5,0.3,0.3,-,7.68
7,Jamal Musiala,3,259,0.3,0.3,0.3,-,-,0.3,0.3,-,7.64
8,Jude Bellingham,5,415,3.2,1,1,0.2,-,0.2,-,-,7.58
9,Cody Gakpo,5,456,1.6,0.6,1.6,0.2,1.2,0.2,0.2,-,7.53
10,Casemiro,4,391,2.8,1.8,1.8,-,1.3,0.5,0.5,-,7.53
11,Mohammed Kudus,3,250,1.7,0.3,1,-,-,0.3,-,-,7.53
12,Antoine Griezmann,6(1),538,2,1.1,0.4,-,1,0.3,0.4,-,7.52
13,Eduardo Camavinga,1(1),140,7,1.5,1,-,3,0.5,-,-,7.49
14,Neymar,3,282,0.3,0.3,1.3,-,-,-,-,-,7.45
15,Richarlison,4,326,0.5,0.3,1.3,-,1,-,-,-,7.41
16,Devis Epassy,2,180,-,-,-,-,1,-,-,-,7.39
17,Rodri,4,391,1.3,0.8,1.3,1.3,2.3,-,0.5,-,7.37
18,Giorgian de Arrascaeta,1(1),108,1.5,1,-,-,0.5,2,-,-,7.37
19,Harry Maguire,5,430,1.4,0.8,1.2,0.2,3.6,0.2,0.6,-,7.35
20,Harry Kane,5,404,0.4,-,0.2,-,1,-,0.2,-,7.34
21,César Azpilicueta,2,136,0.5,0.5,1,0.5,-,-,-,-,7.32
22,Mehdi Taremi,3,270,1.3,0.7,1.7,-,1,1,0.3,-,7.31
23,Edson Álvarez,2,176,1.5,2,2,0.5,0.5,1,-,-,7.31
24,Serge Gnabry,3,265,1.7,0.7,0.7,-,1,0.3,-,-,7.31
25,Enner Valencia,3,257,0.7,0.3,1,-,0.7,0.3,-,-,7.30
26,Mohammed Al Owais,3,270,-,-,-,-,3,0.3,-,-,7.27
27,Frenkie de Jong,5,477,2.4,1.2,0.8,0.2,0.6,0.4,0.6,-,7.27
28,Diogo Dalot,3,259,2.7,0.7,0.3,-,0.3,-,0.7,-,7.27
29,Jordi Alba,3(1),266,1.5,0.8,1,1,0.5,0.8,-,-,7.26
30,Rodrigo Bentancur,3,214,3,2.3,1.7,-,1.3,-,-,-,7.24
31,Ramin Rezaeian,2,180,3.5,1.5,1,-,1,2,-,-,7.23
32,Theo Hernández,5(1),508,2.7,0.7,1,-,1.2,0.8,0.3,-,7.22
33,Olivier Giroud,6,424,0.2,0.2,0.3,0.2,0.8,0.5,-,-,7.21
34,Vinícius Júnior,4,302,0.8,-,-,0.3,-,0.5,0.3,-,7.20
35,Daley Blind,5,424,2.8,1,0.6,-,0.8,0.6,0.2,-,7.19
36,David Raum,3,244,2,2.3,1.7,-,0.7,1,0.3,-,7.19
37,Adrien Rabiot,5(1),483,2,1.7,1.7,0.2,0.8,0.5,0.3,-,7.18
38,Kai Havertz,1(1),103,0.5,0.5,1.5,-,-,0.5,-,-,7.18
39,Randal Kolo Muani,1(2),181,2.3,0.3,1.3,-,0.3,-,-,-,7.17
40,Ritsu Doan,2(2),218,1.5,0.8,0.8,-,0.5,0.5,0.3,-,7.17
41,Robert Lewandowski,4,360,0.5,0.3,1.5,-,2,0.8,0.3,-,7.16
42,Joshua Kimmich,3,270,1.7,1,0.7,-,0.3,1,0.3,-,7.15
43,Phil Foden,3(1),259,0.3,0.3,0.5,-,-,0.3,-,-,7.15
44,Alex Sandro,2(1),192,2.7,1,1,0.3,3,-,-,-,7.14
45,Dani Olmo,4,368,1.3,0.3,1.3,0.3,0.8,0.3,-,-,7.14
46,Lucas Paquetá,4,317,1.8,0.5,1,-,1,0.8,0.3,-,7.13
47,Andreas Christensen,3,270,1.3,1.3,0.7,0.3,3,-,1.7,-,7.12
