No.,Player,Apps,Mins,Cross,Corner,Throughball,Freekick,Throwin,Other,Total,Rating
1,Bruno Fernandes,4,357,0.3,0.3,0.3,-,-,0.3,0.8,8.15
2,Lionel Messi,7,690,-,-,0.1,-,-,0.3,0.4,8.13
3,Kylian Mbappé,7,597,0.1,-,0.1,-,-,-,0.3,7.94
4,Wojciech Szczesny,4,360,-,-,-,-,-,-,-,7.88
5,Juan Pablo Vargas,1,90,-,-,-,-,-,-,-,7.72
6,Jean-Charles Castelletto,2,180,-,-,0.5,-,-,-,0.5,7.71
7,Bukayo Saka,4,293,-,-,-,-,-,-,-,7.68
8,Jamal Musiala,3,259,-,-,-,-,-,0.3,0.3,7.64
9,Jude Bellingham,5,415,-,-,-,-,-,0.2,0.2,7.58
10,Cody Gakpo,5,456,-,-,-,-,-,-,-,7.53
11,Mohammed Kudus,3,250,-,-,-,-,-,-,-,7.53
12,Antoine Griezmann,7,538,0.3,-,-,-,-,0.1,0.4,7.52
13,Paik Seung-Ho,1,25,-,-,-,-,-,-,-,7.50
14,Eduardo Camavinga,2,139,-,-,-,-,-,-,-,7.49
15,Neymar,3,281,-,-,-,-,-,0.3,0.3,7.45
16,Casemiro,4,390,-,-,-,-,-,-,-,7.43
17,Richarlison,4,326,-,-,-,-,-,-,-,7.41
18,Nader Ghandri,1,90,-,-,-,-,-,-,-,7.40
19,Devis Epassy,2,180,-,-,-,-,-,-,-,7.39
20,Giorgian de Arrascaeta,2,108,-,-,-,-,-,-,-,7.37
21,Harry Maguire,5,430,-,-,-,-,-,0.2,0.2,7.35
22,Harry Kane,5,404,0.4,-,-,-,-,0.2,0.6,7.34
23,César Azpilicueta,2,136,0.5,-,-,-,-,-,0.5,7.32
24,Mehdi Taremi,3,270,-,-,-,-,-,0.3,0.3,7.31
25,Edson Álvarez,2,176,-,-,-,-,-,-,-,7.31
26,Serge Gnabry,3,265,0.3,-,-,-,-,-,0.3,7.31
27,Rodri,4,390,-,-,-,-,-,-,-,7.31
28,Enner Valencia,3,257,-,-,-,-,-,-,-,7.30
29,Mohammed Al Owais,3,270,-,-,-,-,-,-,-,7.27
30,Frenkie de Jong,5,476,0.2,-,-,-,-,-,0.2,7.27
31,Diogo Dalot,3,259,-,-,-,-,-,0.3,0.3,7.27
32,Enzo Ebosse,1,90,-,-,-,-,-,-,-,7.26
33,Jordi Alba,4,266,0.3,-,-,-,-,0.3,0.5,7.26
34,Munir Mohamedi,1,90,-,-,-,-,-,-,-,7.26
35,Rodrigo Bentancur,3,214,-,-,-,-,-,-,-,7.24
36,Ramin Rezaeian,2,180,-,-,-,-,-,-,-,7.23
37,Theo Hernández,6,508,0.2,-,-,-,-,0.2,0.3,7.22
38,Simon Kjaer,1,65,-,-,-,-,-,-,-,7.22
39,Olivier Giroud,6,424,-,-,-,-,-,-,-,7.21
40,Vinícius Júnior,4,302,-,-,-,-,-,0.5,0.5,7.20
41,Daley Blind,5,424,0.2,-,-,-,-,-,0.2,7.19
42,David Raum,3,244,0.3,-,-,-,-,-,0.3,7.19
43,Adrien Rabiot,6,483,-,-,-,-,-,0.2,0.2,7.18
44,Kai Havertz,2,103,-,-,-,-,-,-,-,7.18
45,Ritsu Doan,4,218,-,-,-,-,-,-,-,7.17
46,Robert Lewandowski,4,360,-,-,-,-,-,0.3,0.3,7.16
47,Joshua Kimmich,3,270,-,-,-,-,-,-,-,7.15
48,Enzo Fernández,7,563,-,-,-,-,-,0.1,0.1,7.15
49,Phil Foden,4,259,-,-,-,-,-,0.5,0.5,7.15
50,Alex Sandro,3,191,-,-,-,-,-,-,-,7.14
51,Dani Olmo,4,368,-,-,-,-,-,0.3,0.3,7.14
52,Yasir Al Shahrani,1,90,-,-,-,-,-,-,-,7.13
53,Lucas Paquetá,4,317,-,-,-,-,-,0.3,0.3,7.13
54,Andreas Christensen,3,270,-,-,-,-,-,-,-,7.12
55,Ángel Di María,5,290,-,-,-,-,-,0.2,0.2,7.12
56,Thibaut Courtois,3,270,-,-,-,-,-,-,-,7.11
57,Alexis Mac Allister,6,555,-,-,-,-,-,0.2,0.2,7.11
58,Luis Chávez,3,270,-,-,-,-,-,-,-,7.10
59,João Félix,4,333,-,-,-,-,-,0.5,0.5,7.10
60,Leroy Sané,2,110,-,-,-,-,-,0.5,0.5,7.10
61,Cheikhou Kouyaté,1,73,-,-,-,-,-,-,-,7.09
62,Ivan Perisic,7,672,0.1,-,0.1,-,-,0.1,0.4,7.08
63,Henry Martín,2,148,-,-,-,-,-,-,-,7.08
64,Christian Pulisic,4,316,-,-,0.3,-,-,0.3,0.5,7.07
65,Thiago Silva,4,390,-,-,0.3,-,-,-,0.3,7.07
66,Eric Choupo-Moting,3,254,-,-,-,-,-,-,-,7.07
67,Silvan Widmer,3,266,-,-,-,-,-,0.3,0.3,7.04
68,Randal Kolo Muani,3,180,-,-,-,-,-,-,-,7.03
69,Mathías Olivera,3,255,-,-,-,-,-,-,-,7.03
70,Andries Noppert,5,480,-,-,-,-,-,-,-,7.02
71,Aurélien Tchouaméni,7,623,-,-,-,-,-,-,-,7.02
72,Álvaro Morata,4,183,-,-,0.3,-,-,-,0.3,7.02
73,Ismaïla Sarr,4,344,-,-,-,-,-,-,-,7.02
74,Mateo Kovacic,7,640,-,-,-,-,-,-,-,7.00
75,Leander Dendoncker,2,162,-,-,-,-,-,-,-,7.00
76,Andrija Zivkovic,3,213,-,-,-,-,-,0.7,0.7,6.99
77,Cho Gue-Sung,4,276,-,-,-,-,-,-,-,6.99
78,Jurriën Timber,4,390,-,-,-,-,-,-,-,6.99
79,Hirving Lozano,3,253,-,-,-,-,-,-,-,6.99
80,Gonçalo Ramos,4,153,-,-,-,-,-,0.3,0.3,6.98
81,Gavi,4,287,-,-,-,-,-,-,-,6.98
82,Federico Valverde,3,270,-,-,-,-,-,-,-,6.98
83,Ibrahima Konaté,5,293,-,-,-,-,-,-,-,6.98
84,Pedri,4,357,-,-,-,-,-,-,-,6.97
85,Julián Álvarez,7,467,-,-,-,-,-,-,-,6.97
86,Ilkay Gündogan,3,192,-,-,-,-,-,-,-,6.96
87,Raphaël Guerreiro,4,279,-,-,-,-,-,0.5,0.5,6.96
88,Jan Vertonghen,3,270,-,-,-,-,-,-,-,6.96
89,Pepe,4,360,-,-,-,-,-,-,-,6.96
90,Dejan Lovren,6,600,0.2,-,-,-,-,-,0.2,6.95
91,Borna Barisic,1,120,-,-,-,-,-,-,-,6.95
92,Aleksandar Mitrovic,3,263,-,-,-,-,-,-,-,6.95
93,Achraf Hakimi,7,633,-,-,0.1,-,-,-,0.1,6.94
94,Harry Souttar,4,360,-,-,-,-,-,-,-,6.94
95,Marcus Rashford,5,137,-,-,-,-,-,-,-,6.94
96,Josko Gvardiol,7,690,-,-,-,-,-,-,-,6.94
97,Otávio,3,199,-,-,-,-,-,-,-,6.93
98,Kalidou Koulibaly,4,360,-,-,-,-,-,-,-,6.93
99,Cameron Carter-Vickers,1,90,-,-,-,-,-,-,-,6.93
100,Carlos Soler,2,90,-,-,-,-,-,-,-,6.93
101,Luke Shaw,5,425,0.2,-,-,-,-,-,0.2,6.93
102,Ellyes Skhiri,3,270,-,-,-,-,-,-,-,6.92
103,Nuno Mendes,1,42,-,-,-,-,-,-,-,6.92
104,João Cancelo,4,309,-,-,-,-,-,-,-,6.92
105,Dusan Tadic,3,258,0.3,-,-,0.3,-,-,0.7,6.92
106,Kieran Trippier,3,205,-,-,-,-,-,-,-,6.92
107,Luka Modric,7,656,-,-,-,-,-,-,-,6.91
108,Diego Godín,2,152,-,-,-,-,-,-,-,6.91
109,Pervis Estupiñán,3,270,-,-,-,-,-,-,-,6.91
110,Aymeric Laporte,3,300,-,-,-,-,-,-,-,6.90
111,Declan Rice,5,418,-,-,-,-,-,-,-,6.90
112,Montassar Talbi,3,270,-,-,-,-,-,-,-,6.90
113,Mohamed Ali Ben Romdhane,1,74,-,-,-,-,-,-,-,6.90
114,Famara Diédhiou,2,92,-,-,-,-,-,-,-,6.90
115,Toby Alderweireld,3,270,-,-,0.3,-,-,-,0.3,6.89
116,Denzel Dumfries,5,480,-,-,-,-,-,0.4,0.4,6.89
117,Angelo Preciado,3,265,0.3,-,-,-,-,-,0.3,6.89
118,Gideon Mensah,1,88,-,-,-,-,-,-,-,6.89
119,Jerome Mbekeli,1,4,1,-,-,-,-,-,1,6.89
120,Virgil van Dijk,5,480,-,-,-,-,-,-,-,6.89
121,Kevin De Bruyne,3,270,-,-,-,-,-,-,-,6.88
122,Vincent Aboubakar,3,141,-,-,-,-,-,0.3,0.3,6.88
123,César Montes,3,270,-,-,-,-,-,0.3,0.3,6.87
124,Orbelín Pineda,1,77,-,-,-,-,-,-,-,6.87
125,Youssouf Sabaly,4,360,-,-,-,-,-,-,-,6.87
126,Yassine Meriah,3,270,-,-,-,-,-,-,-,6.87
127,Raphinha,5,317,-,-,-,-,-,-,-,6.87
128,Mohammed Salisu,3,270,-,-,-,-,-,-,-,6.86
129,Niclas Füllkrug,3,66,-,-,-,-,-,0.3,0.3,6.86
130,Ko Itakura,3,270,-,-,-,0.3,-,-,0.3,6.86
131,Ousmane Dembélé,7,438,0.1,-,-,-,-,0.1,0.3,6.86
132,Nouhou Tolo,3,270,-,-,-,-,-,-,-,6.86
133,Piotr Zielinski,4,330,-,-,-,-,-,-,-,6.86
134,Jules Koundé,6,481,-,-,-,-,-,-,-,6.85
135,Youssef En-Nesyri,7,547,-,-,-,-,-,-,-,6.85
136,Mohammed Kanno,3,270,-,-,-,-,-,-,-,6.85
137,Youssef Msakni,2,170,-,-,-,-,-,-,-,6.85
138,José Giménez,3,270,-,-,-,-,-,-,-,6.84
139,Nathan Aké,5,480,-,-,-,-,-,-,-,6.84
140,Tyler Adams,4,360,-,-,-,-,-,-,-,6.84
141,Maya Yoshida,4,390,-,-,-,-,-,0.3,0.3,6.83
142,Hakim Ziyech,7,638,-,-,-,-,-,0.1,0.1,6.81
143,Matt Turner,4,360,-,-,-,-,-,-,-,6.81
144,Félix Torres,3,270,-,-,-,-,-,0.3,0.3,6.81
145,Nicolás Otamendi,7,690,-,-,-,-,-,0.1,0.1,6.80
146,Olivier Ntcham,1,22,-,-,-,-,-,-,-,6.80
147,Salem Al Dawsari,3,270,-,-,-,-,-,-,-,6.80
148,Marcelo Brozovic,6,554,-,-,-,-,-,-,-,6.80
149,Aziz Behich,4,360,-,-,-,-,-,-,-,6.80
150,Marcos Acuña,6,374,-,-,-,-,-,-,-,6.79
151,Aïssa Laïdouni,3,245,-,-,-,-,-,0.3,0.3,6.79
152,Aymen Dahmen,3,270,-,-,-,-,-,-,-,6.79
153,Christopher Wooh,1,90,-,-,-,-,-,-,-,6.79
154,Jordan Henderson,4,272,-,-,-,-,-,-,-,6.79
155,Hwang Hee-Chan,2,114,-,-,-,-,-,-,-,6.78
156,Éder Militão,4,349,-,-,-,-,-,-,-,6.78
157,Kim Moon-Hwan,4,360,-,-,-,-,-,-,-,6.78
158,Alphonso Davies,3,270,-,-,-,-,-,-,-,6.77
159,Thilo Kehrer,1,70,-,-,-,-,-,-,-,6.77
160,Noussair Mazraoui,5,368,-,-,-,-,-,-,-,6.77
161,Nico Elvedi,2,180,-,-,-,-,-,-,-,6.77
162,Pierre-Emile Højbjerg,3,270,-,-,-,-,-,-,-,6.76
163,Wataru Endo,4,303,-,-,-,-,-,-,-,6.76
164,Axel Witsel,3,270,-,-,-,-,-,-,-,6.76
165,Wahbi Khazri,2,83,-,-,-,-,-,-,-,6.76
166,Vanja Milinkovic-Savic,3,270,-,-,-,-,-,-,-,6.76
167,Danilo,3,282,-,-,-,-,-,-,-,6.75
168,Hugo Lloris,6,570,-,-,-,-,-,-,-,6.75
169,Kyle Walker,3,237,-,-,-,-,-,-,-,6.75
170,Jorge Sánchez,2,176,-,-,-,-,-,-,-,6.74
171,Sergej Milinkovic-Savic,3,236,-,-,-,-,-,-,-,6.74
172,Kim Jin-Su,4,316,0.3,-,-,-,-,-,0.3,6.74
173,Davy Klaassen,4,192,-,-,-,-,-,0.5,0.5,6.73
174,Romain Saïss,6,468,-,-,-,-,-,-,-,6.73
175,André-Frank Zambo Anguissa,3,261,-,-,-,-,-,-,-,6.73
176,Borna Sosa,5,426,-,-,-,-,-,-,-,6.73
177,Dominik Livakovic,7,690,-,-,-,-,-,-,-,6.73
178,Pierre Kunde,2,135,-,-,-,-,-,-,-,6.73
179,Azzedine Ounahi,7,571,-,-,-,-,-,-,-,6.72
180,John Stones,5,437,-,-,-,-,-,-,-,6.72
181,Thomas Partey,3,270,-,-,-,-,-,-,-,6.72
182,Marquinhos,5,426,-,-,-,-,-,-,-,6.72
183,Josip Juranovic,6,600,-,-,-,-,-,0.2,0.2,6.72
184,Hossein Hosseini,2,160,-,-,-,-,-,-,-,6.72
185,Saleh Al Shehri,3,226,-,-,-,-,-,-,-,6.71
186,Rodrigo De Paul,7,602,-,-,-,-,-,-,-,6.71
187,Kye Rowles,4,360,-,-,-,-,-,-,-,6.71
188,Joachim Andersen,3,270,-,-,-,-,-,0.3,0.3,6.71
189,Xherdan Shaqiri,3,231,-,-,-,-,-,0.3,0.3,6.71
190,Gonzalo Plata,3,270,-,-,-,-,-,-,-,6.71
191,Dusan Vlahovic,2,79,-,-,-,-,-,-,-,6.71
