No.,Player,Apps,Mins,Total,AccLB,InAccLB,AccSP,InAccSP,Rating
1,Bruno Fernandes,4,357,50.3,5.8,1.3,38.3,5,8.15
2,Lionel Messi,7,690,49.6,1.9,0.9,40.3,6.6,8.13
3,Kylian Mbappé,7,597,28.6,1,0.6,22.4,4.6,7.94
4,Wojciech Szczesny,4,360,32.3,10.3,14.5,7.5,-,7.88
5,Juan Pablo Vargas,1,90,19,1,3,14,1,7.72
6,Jean-Charles Castelletto,2,180,39.5,3,3,30,3.5,7.71
7,Bukayo Saka,4,293,25.3,0.5,0.3,19.5,5,7.68
8,Jamal Musiala,3,259,34.3,1,-,27,6.3,7.64
9,Jude Bellingham,5,415,51.8,2.6,0.8,44.2,4.2,7.58
10,Cody Gakpo,5,456,22,-,0.8,16.2,5,7.53
11,Mohammed Kudus,3,250,26.3,2,0.7,18,5.7,7.53
12,Antoine Griezmann,7,538,40.7,2.7,0.4,31.4,6.1,7.52
13,Paik Seung-Ho,1,25,27,1,-,19,7,7.50
14,Eduardo Camavinga,2,139,44,0.5,2.5,37.5,3.5,7.49
15,Neymar,3,281,47.3,0.7,0.3,37.7,8.7,7.45
16,Casemiro,4,390,62,2.8,2.5,48.8,8,7.43
17,Richarlison,4,326,14,-,0.3,10,3.8,7.41
18,Nader Ghandri,1,90,33,-,2,27,4,7.40
19,Devis Epassy,2,180,36,12.5,12.5,11,-,7.39
20,Giorgian de Arrascaeta,2,108,22.5,-,2,15,5.5,7.37
21,Harry Maguire,5,430,81.2,6.6,4.4,64.2,6,7.35
22,Harry Kane,5,404,18,0.8,-,11.2,6,7.34
23,César Azpilicueta,2,136,83,3.5,1,76,2.5,7.32
24,Mehdi Taremi,3,270,26,1,0.3,18.3,6.3,7.31
25,Edson Álvarez,2,176,57,1,4.5,42,9.5,7.31
26,Serge Gnabry,3,265,35,-,-,26.3,8.7,7.31
27,Rodri,4,390,171,6.5,4.3,153,7.3,7.31
