,Time and Date,Game,Final Score,Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Free Kicks,Corner Kicks,Offsides,Throw-in,Goalkeeper Saves,Fouls,Total Passes,Completed Passes,Tackles,Attacks,Dangerous Attacks
0,20.11.2022 18:00,Qatar-Ecuador,0-2,47%-53%,5-6,0-3,5-3,0-0,19-17,1-3,3-4,20-17,1-0,15-15,450-480,381-409,10-15,86-110,15-39
1,21.11.2022 15:00,England-Iran,6-2,78%-22%,13-8,7-3,3-4,3-1,16-10,8-0,2-2,18-19,1-1,9-14,809-224,730-154,13-12,154-60,62-19
2,21.11.2022 18:00,Senegal-Netherlands,0-2,47%-53%,14-9,3-3,8-5,3-1,14-14,6-7,2-1,17-28,1-3,13-13,383-438,313-374,14-10,92-97,53-53
3,21.11.2022 21:00,USA-Wales,1-1,59%-41%,6-7,1-3,4-3,1-1,11-15,5-3,1-1,21-25,2-0,15-10,569-409,509-321,14-18,133-85,56-30
4,23.11.2022 15:00,Germany-Japan,1-2,74%-26%,25-10,9-3,11-6,5-1,17-10,6-6,4-4,33-14,1-8,6-14,820-261,743-207,11-29,151-64,68-22
5,22.11.2022 12:00,Argentina-Saudi Arabia,1-2,69%-31%,14-3,6-2,5-0,3-1,22-16,9-2,10-1,24-13,0-5,7-21,610-267,529-190,17-18,82-53,42-27
6,22.11.2022 15:00,Denmark-Tunisia,0-0,61%-39%,11-11,4-1,4-7,3-3,11-10,11-9,1-1,24-24,1-4,9-10,594-387,523-302,12-24,127-79,65-22
7,22.11.2022 18:00,Mexico-Poland,0-0,61%-39%,13-8,4-1,5-4,4-3,16-16,6-5,3-0,21-23,1-4,14-16,485-322,422-241,15-17,122-106,66-29
8,22.11.2022 21:00,France-Australia,4-1,62%-38%,22-4,7-1,9-3,6-0,11-5,8-1,0-0,17-21,0-3,5-11,734-466,672-399,20-13,133-86,63-19
9,23.11.2022 12:00,Morocco-Croatia,0-0,35%-65%,8-6,2-2,0-2,6-2,12-17,0-5,0-1,22-27,2-2,17-11,360-667,290-592,20-17,83-132,35-37
10,23.11.2022 18:00,Spain-Costa Rica,7-0,82%-18%,17-0,7-0,8-0,2-0,18-11,5-0,3-7,24-13,0-0,8-12,1061-231,1003-170,14-21,202-63,70-12
11,23.11.2022 21:00,Belgium-Canada,1-0,54%-46%,9-21,3-4,6-12,0-5,15-10,4-4,0-1,16-28,4-2,11-14,512-448,439-382,19-13,78-99,19-65
12,24.11.2022 12:00,Switzerland-Cameroon,1-0,51%-49%,8-7,3-3,4-2,1-2,11-14,11-5,2-2,16-12,3-2,12-10,497-500,437-424,15-12,108-106,46-46
13,24.11.2022 15:00,Uruguay-South Korea,0-0,56%-44%,10-6,0-0,6-5,4-1,10-8,4-3,1-0,22-28,0-0,7-10,528-419,459-340,16-12,110-106,47-61
14,24.11.2022 18:00,Portugal-Ghana,3-2,62%-38%,11-8,5-3,3-5,3-0,19-15,3-3,1-1,9-11,1-2,14-19,636-394,573-326,16-14,124-80,59-17
15,24.11.2022 21:00,Brazil-Serbia,2-0,59%-41%,24-4,10-0,9-3,5-1,12-8,6-4,1-0,25-15,0-8,7-12,585-403,526-341,17-24,132-78,60-34
16,25.11.2022 12:00,Wales-Iran,0-2,62%-38%,10-21,3-6,4-6,3-9,12-11,2-7,2-2,30-18,4-3,9-10,508-295,413-202,10-19,133-83,62-46
