No.,Team,Total,Won,Lost,Rating
1.,France,25.3,14.6,10.7,6.90
2.,England,25.2,12,13.2,6.89
3.,Netherlands,29.4,15.4,14,6.73
4.,Brazil,18.6,8.2,10.4,6.72
5.,Argentina,23.3,11.3,12,6.71
6.,Germany,23.3,12.3,11,6.70
7.,Spain,18.3,9.3,9,6.69
8.,Portugal,24.2,13.2,11,6.67
9.,Cameroon,26.3,14.3,12,6.67
10.,Croatia,21,10.3,10.7,6.63
11.,Tunisia,35.3,16,19.3,6.60
12.,Poland,28.3,13,15.3,6.59
13.,Uruguay,33.7,17.7,16,6.59
14.,Belgium,20.3,11,9.3,6.58
15.,Morocco,21.4,9.9,11.6,6.53
16.,USA,27,13.8,13.3,6.53
17.,Ecuador,33.3,16.7,16.7,6.52
18.,Mexico,33.7,16,17.7,6.52
19.,Japan,29.3,12.5,16.8,6.51
20.,Denmark,33,17,16,6.50
21.,South-Korea,33,18.3,14.8,6.50
22.,Senegal,34,18.3,15.8,6.48
23.,Iran,30.7,14.3,16.3,6.47
24.,Ghana,33,12.3,20.7,6.45
25.,Australia,36.3,18.3,18,6.45
26.,Saudi-Arabia,32,15.7,16.3,6.42
27.,Serbia,27.3,14.3,13,6.42
28.,Switzerland,23.5,11.3,12.3,6.35
29.,Costa-Rica,22.7,12.7,10,6.26
30.,Wales,28,14,14,6.25
31.,Canada,17.3,10,7.3,6.21
32.,Qatar,25.3,12.3,13,6.14
,,,,,
