No.,Team,Total,Rating
1.,France,13,6.90
2.,England,10.4,6.89
3.,Netherlands,15.2,6.73
4.,Brazil,11.4,6.72
5.,Argentina,14.9,6.71
6.,Germany,7.7,6.70
7.,Spain,8.5,6.69
8.,Portugal,10.8,6.67
9.,Cameroon,23.3,6.67
10.,Croatia,17.3,6.63
11.,Tunisia,27,6.60
12.,Poland,24.5,6.59
13.,Uruguay,15.7,6.59
14.,Belgium,18.7,6.58
15.,Morocco,19.6,6.53
16.,USA,16,6.53
17.,Ecuador,14.3,6.52
18.,Mexico,14.3,6.52
19.,Japan,22.3,6.51
20.,Denmark,16.7,6.50
21.,South-Korea,16,6.50
22.,Senegal,23.5,6.48
23.,Iran,20,6.47
24.,Ghana,27,6.45
25.,Australia,25.3,6.45
26.,Saudi-Arabia,21.7,6.42
27.,Serbia,15.3,6.42
28.,Switzerland,19.5,6.35
29.,Costa-Rica,26,6.26
30.,Wales,26,6.25
31.,Canada,13.3,6.21
32.,Qatar,15,6.14
,,,
