No.,Team,Fouled,Fouls,Rating
1.,France,11.4,9.4,6.90
2.,England,13,10.6,6.89
3.,Netherlands,9.4,15,6.73
4.,Brazil,13.4,10.4,6.72
5.,Argentina,14.3,13,6.71
6.,Germany,9,8.7,6.70
7.,Spain,10.5,10.3,6.69
8.,Portugal,13,11,6.67
9.,Cameroon,12.7,10.7,6.67
10.,Croatia,11.1,11.4,6.63
11.,Tunisia,9.3,13.3,6.60
12.,Poland,11.8,11.8,6.59
13.,Uruguay,12,11.3,6.59
14.,Belgium,11.7,10,6.58
15.,Morocco,11.6,13.1,6.53
16.,USA,10,11.3,6.53
17.,Ecuador,12.3,16.7,6.52
18.,Mexico,16,17,6.52
19.,Japan,8.3,14,6.51
20.,Denmark,7.7,9.3,6.50
21.,South-Korea,8.5,11.3,6.50
22.,Senegal,14.3,12,6.48
23.,Iran,8.7,12.7,6.47
24.,Ghana,12.7,15.3,6.45
25.,Australia,8.5,13,6.45
26.,Saudi-Arabia,12.7,18.7,6.42
27.,Serbia,9.3,14.3,6.42
28.,Switzerland,12.3,13.3,6.35
29.,Costa-Rica,12.3,8,6.26
30.,Wales,11,11.7,6.25
31.,Canada,12.3,11,6.21
32.,Qatar,15,10.3,6.14
,,,,
