No.,Team,Total,RightFoot,LeftFoot,Head,Other,Rating
1.,France,2.1,1.3,0.3,0.6,0,6.90
2.,England,2.6,1,1.4,0.2,0,6.89
3.,Netherlands,2,0.8,0.8,0.4,0,6.73
4.,Brazil,1.4,1.2,0.2,0,0,6.72
5.,Argentina,2,1,1,0,0,6.71
6.,Germany,2,1,0.7,0.3,0,6.70
7.,Spain,2.3,1.3,0.8,0.3,0,6.69
8.,Portugal,2.4,1.6,0.6,0.2,0,6.67
9.,Cameroon,1.3,0.7,0.3,0.3,0,6.67
10.,Croatia,1,0.3,0.4,0.3,0,6.63
11.,Tunisia,0.3,0,0.3,0,0,6.60
12.,Poland,0.8,0.5,0.3,0,0,6.59
13.,Uruguay,0.7,0.3,0,0.3,0,6.59
14.,Belgium,0.3,0,0.3,0,0,6.58
15.,Morocco,0.9,0.4,0.1,0.3,0,6.53
16.,USA,0.8,0.8,0,0,0,6.53
17.,Ecuador,1.3,1,0,0.3,0,6.52
18.,Mexico,0.7,0,0.7,0,0,6.52
19.,Japan,1.3,0.5,0.8,0,0,6.51
20.,Denmark,0.3,0,0,0.3,0,6.50
21.,South-Korea,1.3,0.3,0.5,0.5,0,6.50
22.,Senegal,1.3,1,0,0.3,0,6.48
23.,Iran,1.3,1.3,0,0,0,6.47
24.,Ghana,1.7,0.3,0.7,0.7,0,6.45
25.,Australia,1,0,0.5,0.3,0,6.45
26.,Saudi-Arabia,1,0.7,0.3,0,0,6.42
27.,Serbia,1.7,0.3,0.7,0.7,0,6.42
28.,Switzerland,1.3,0.8,0.5,0,0,6.35
29.,Costa-Rica,1,0.3,0.7,0,0,6.26
30.,Wales,0.3,0,0.3,0,0,6.25
31.,Canada,0.7,0,0,0.3,0,6.21
32.,Qatar,0.3,0,0,0.3,0,6.14
,,,,,,,
