No.,Team,Total,Rating
1.,France,10.9,6.90
2.,England,7.6,6.89
3.,Netherlands,10,6.73
4.,Brazil,7.6,6.72
5.,Argentina,7.4,6.71
6.,Germany,7,6.70
7.,Spain,4.8,6.69
8.,Portugal,7,6.67
9.,Cameroon,13.3,6.67
10.,Croatia,7.3,6.63
11.,Tunisia,8.3,6.60
12.,Poland,7.5,6.59
13.,Uruguay,10.7,6.59
14.,Belgium,5.7,6.58
15.,Morocco,9.3,6.53
16.,USA,6.3,6.53
17.,Ecuador,9.3,6.52
18.,Mexico,8.3,6.52
19.,Japan,8.3,6.51
20.,Denmark,7.7,6.50
21.,South-Korea,7.8,6.50
22.,Senegal,7.8,6.48
23.,Iran,14,6.47
24.,Ghana,6.3,6.45
25.,Australia,10,6.45
26.,Saudi-Arabia,10.3,6.42
27.,Serbia,7.3,6.42
28.,Switzerland,6,6.35
29.,Costa-Rica,10.3,6.26
30.,Wales,7,6.25
31.,Canada,6,6.21
32.,Qatar,8,6.14
,,,
