No.,Team,Total,Long,Short,Rating
1.,France,11.3,2.6,8.7,6.90
2.,England,9.2,1.6,7.6,6.89
3.,Netherlands,6.4,1.4,5,6.73
4.,Brazil,13.2,0.8,12.4,6.72
5.,Argentina,9.1,0.3,8.9,6.71
6.,Germany,17.3,1.7,15.7,6.70
7.,Spain,8.3,1.5,6.8,6.69
8.,Portugal,9.8,1.4,8.4,6.67
9.,Cameroon,7,2.3,4.7,6.67
10.,Croatia,7.9,1.3,6.6,6.63
11.,Tunisia,7.3,0.7,6.7,6.60
12.,Poland,5.5,1.3,4.3,6.59
13.,Uruguay,8.7,1,7.7,6.59
14.,Belgium,9.7,2,7.7,6.58
15.,Morocco,5.7,1.4,4.3,6.53
16.,USA,9.3,1,8.3,6.53
17.,Ecuador,6.7,2,4.7,6.52
18.,Mexico,8.3,1.3,7,6.52
19.,Japan,7,0.5,6.5,6.51
20.,Denmark,9,2.3,6.7,6.50
21.,South-Korea,9,2.8,6.3,6.50
22.,Senegal,9,2,7,6.48
23.,Iran,8.7,1,7.7,6.47
24.,Ghana,6,0.7,5.3,6.45
25.,Australia,4.5,1.3,3.3,6.45
26.,Saudi-Arabia,6,1,5,6.42
27.,Serbia,8.3,1.3,7,6.42
28.,Switzerland,6.8,0.8,6,6.35
29.,Costa-Rica,2.3,0.3,2,6.26
30.,Wales,6,1.3,4.7,6.25
31.,Canada,9,1.3,7.7,6.21
32.,Qatar,5.3,1,4.3,6.14
,,,,,
