No.,Team,Cross,Corner,Throughball,Freekick,Throwin,Other,Rating
1.,France,4.3,1.4,0.6,0.1,0,6.4,6.90
2.,England,2.8,1,0.2,0.6,0,6.2,6.89
3.,Netherlands,1.6,0.8,0.4,0.4,0,4,6.73
4.,Brazil,2.4,1,0.4,0,0,10.2,6.72
5.,Argentina,1.4,0.6,0.3,0.1,0,7.4,6.71
6.,Germany,4,1,0.3,0.3,0,12.7,6.70
7.,Spain,1.5,0.3,1.3,0.5,0.3,5,6.69
8.,Portugal,1.8,0.8,0.8,0.4,0,7,6.67
9.,Cameroon,1.7,0.7,0.7,0.3,0,4.7,6.67
10.,Croatia,2,0.1,0.3,0.1,0,5.6,6.63
11.,Tunisia,2,1,0.3,0,0,5,6.60
12.,Poland,2.8,0.8,0,0.5,0,2.8,6.59
13.,Uruguay,3,0.3,0.7,0.7,0,5,6.59
14.,Belgium,3,1.3,0.7,0.3,0,6,6.58
15.,Morocco,1.4,0.3,0.1,0.4,0,3.9,6.53
16.,USA,2,0.8,0.5,0,0,6.5,6.53
17.,Ecuador,3.3,0.7,0.3,0.3,0,3,6.52
18.,Mexico,2,0.7,0.7,0.7,0.3,5,6.52
19.,Japan,1.3,0.3,0.3,0.5,0,5.3,6.51
20.,Denmark,3.3,2,0,0,0.3,5.3,6.50
21.,South-Korea,3.8,1,0.3,0,0,5,6.50
22.,Senegal,3,0.5,0.5,0.5,0.3,5.3,6.48
23.,Iran,0.7,0,1,0.7,0,6.7,6.47
24.,Ghana,1,0.3,0,0,0.3,4.7,6.45
25.,Australia,2,0.5,0,0.5,0,2.5,6.45
26.,Saudi-Arabia,1,0,0,0.3,0,5,6.42
27.,Serbia,3.3,1,0.3,0.3,0,4.3,6.42
28.,Switzerland,1.3,1,0.3,0,0,5.3,6.35
29.,Costa-Rica,0,0,0,0,0,2.3,6.26
30.,Wales,1.7,0.7,0,0,0,4.3,6.25
31.,Canada,3.3,0.7,0,0,0,5.7,6.21
32.,Qatar,1.7,0.3,0.3,0.3,0.3,2.7,6.14
