No.,Team,Shots-pg,Shots-OT-pg,Dribbles-pg,Fouled-pg,Rating
1.,France,14.6,5.4,9.9,12.1,6.91
2.,England,12.6,5.8,7.2,13,6.89
3.,Netherlands,8.4,3.2,3.8,10,6.74
4.,Argentina,14.3,6.7,6.4,16.4,6.74
5.,Brazil,19.2,8.2,6.4,14.8,6.74
6.,Spain,12.3,4.3,6,11.5,6.72
7.,Germany,23,8,10.3,9,6.70
8.,Croatia,11.3,3.9,5.7,12.9,6.69
9.,Portugal,13.2,5.2,5,13,6.67
10.,Cameroon,9.3,5.3,8,12.7,6.67
11.,Tunisia,10.7,2.7,6.3,9.3,6.60
12.,Poland,7.8,2,4.3,11.8,6.59
13.,Uruguay,11,3.7,3,12,6.59
14.,Belgium,11.7,3,6.3,11.7,6.58
15.,Morocco,8.7,2.6,7.1,11.6,6.58
16.,USA,11.3,3.8,6.8,10,6.53
17.,Ecuador,10,3.7,4.3,12.3,6.52
18.,Mexico,13.7,5.3,6.3,16,6.52
19.,Japan,11,3.5,4.5,9,6.52
20.,Denmark,11.3,3.3,3.3,7.7,6.50
21.,South-Korea,12.5,4.8,3.3,8.5,6.50
22.,Senegal,13,3.3,6.5,14.3,6.48
23.,Iran,11,3.3,3.7,8.7,6.47
24.,Australia,6.5,2,3.3,8.5,6.45
25.,Ghana,8.7,3.3,9,12.7,6.45
26.,Saudi-Arabia,9.7,3,4,12.7,6.42
27.,Serbia,10.7,3,3,9.3,6.42
28.,Switzerland,9.3,3.3,2,12.3,6.35
29.,Costa-Rica,4,2.3,5.7,12.3,6.26
30.,Wales,8,2.3,3,11,6.25
31.,Canada,11.7,1.7,10.3,12.3,6.21
32.,Qatar,6.7,2,5.3,15,6.14
,,,,,,
