No.,Team,CaughtOffside,Rating
1.,France,2,6.90
2.,England,1,6.89
3.,Netherlands,1.4,6.73
4.,Brazil,1.4,6.72
5.,Argentina,3.1,6.71
6.,Germany,4,6.70
7.,Spain,2.8,6.69
8.,Portugal,2.8,6.67
9.,Cameroon,0.7,6.67
10.,Croatia,1.6,6.63
11.,Tunisia,2.3,6.60
12.,Poland,0.3,6.59
13.,Uruguay,1,6.59
14.,Belgium,1,6.58
15.,Morocco,2.6,6.53
16.,USA,1.3,6.53
17.,Ecuador,2.7,6.52
18.,Mexico,4.3,6.52
19.,Japan,2.3,6.51
20.,Denmark,1.7,6.50
21.,South-Korea,1.8,6.50
22.,Senegal,2,6.48
23.,Iran,2,6.47
24.,Ghana,1.3,6.45
25.,Australia,0.3,6.45
26.,Saudi-Arabia,1,6.42
27.,Serbia,1.3,6.42
28.,Switzerland,1.5,6.35
29.,Costa-Rica,4.3,6.26
30.,Wales,1.3,6.25
31.,Canada,2.7,6.21
32.,Qatar,2.3,6.14
,,,
