No.,Team,AccCr,InAccCr,AccCrn,InAccCrn,AccFrK,InAccFrK,Rating
1.,France,6,11.9,2.9,2.3,9.4,2,6.90
2.,England,5,11.4,2.2,2.8,11.4,1,6.89
3.,Netherlands,3.2,10.2,1.8,2,10,1,6.73
4.,Brazil,4,15.8,3.6,3.4,12.8,0.2,6.72
5.,Argentina,2.6,8.9,2,2.3,12.1,1.7,6.71
6.,Germany,6.3,16.3,1.7,6.7,10,1.3,6.70
7.,Spain,2.5,12.8,3.3,1,14,0.3,6.69
8.,Portugal,5.6,14.8,3.2,2.4,12.2,0.8,6.67
9.,Cameroon,3.3,14.3,1.7,2.3,9.3,3.7,6.67
10.,Croatia,4.7,14.4,2.3,1.7,10.4,1.1,6.63
11.,Tunisia,2.7,17.7,1.7,5.3,7.3,2.7,6.60
12.,Poland,4.5,8.5,1,1.8,8.5,3.3,6.59
13.,Uruguay,4.3,9.3,1,1.7,11.7,0.7,6.59
14.,Belgium,4,13.7,3,2.7,12.3,0.7,6.58
15.,Morocco,2.4,8.3,1,0.7,9.3,2.9,6.53
16.,USA,2.8,20.5,0.8,4.8,9.3,1.8,6.53
17.,Ecuador,5.7,13.3,0.7,3,9.3,3,6.52
18.,Mexico,6,20.3,2,3.3,12.7,1.7,6.52
19.,Japan,2.8,9.3,1.3,2.8,7.3,1.8,6.51
20.,Denmark,5.3,17,3.3,3.7,7.3,0.3,6.50
21.,South-Korea,5.8,17.3,2,4,6.3,2.8,6.50
22.,Senegal,5,12.8,2.3,3,10.3,3,6.48
23.,Iran,2,14,1,1.7,6,2,6.47
24.,Ghana,2.3,14,0.3,4,10.7,1.7,6.45
25.,Australia,2.3,11.3,0.8,1.3,8,2,6.45
26.,Saudi-Arabia,2.3,10.7,1.3,1.3,10.7,6.3,6.42
27.,Serbia,4.7,14,1,2,7.3,1.3,6.42
28.,Switzerland,2,11,2,3,12.5,1.5,6.35
29.,Costa-Rica,1.3,5.7,0,0.3,9.3,3.3,6.26
30.,Wales,3.3,8.7,1.3,0.7,8,2.7,6.25
31.,Canada,5,13,1.7,2.3,10,2.3,6.21
32.,Qatar,4.3,9.7,0.7,2.3,15.7,2,6.14
