No.,Team,Total,SixYardBox,PenaltyArea,OutOfBox,Rating
1.,France,2.4,0,1.1,1.3,6.90
2.,England,1.4,0,0.8,0.6,6.89
3.,Netherlands,3.4,0,1.4,2,6.73
4.,Brazil,1.4,0.2,0.6,0.6,6.72
5.,Argentina,0.7,0,0.3,0.4,6.71
6.,Germany,2.7,0.3,1.3,1,6.70
7.,Spain,1.3,0,1,0.3,6.69
8.,Portugal,2.2,0,0.6,1.6,6.67
9.,Cameroon,3.7,0,2.7,1,6.67
10.,Croatia,3,0.6,1.1,1.3,6.63
11.,Tunisia,3,0,1.3,1.7,6.60
12.,Poland,5.8,0.3,3.5,2,6.59
13.,Uruguay,1.7,0,0.7,1,6.59
14.,Belgium,3,0,2.3,0.7,6.58
15.,Morocco,1.4,0.1,0.6,0.7,6.53
16.,USA,2,0.3,1,0.8,6.53
17.,Ecuador,0.3,0,0.3,0,6.52
18.,Mexico,1,0,0.7,0.3,6.52
19.,Japan,3.5,0.3,1.8,1.5,6.51
20.,Denmark,2.7,0,2,0.7,6.50
21.,South-Korea,2.8,0,2,0.8,6.50
22.,Senegal,1.8,0,1,0.8,6.48
23.,Iran,2.7,0,2,0.7,6.47
24.,Ghana,3.3,0,1.7,1.7,6.45
25.,Australia,3,0.3,2,0.8,6.45
26.,Saudi-Arabia,4.7,0.7,1.7,2.3,6.42
27.,Serbia,5.3,0,3,2.3,6.42
28.,Switzerland,3.5,0.8,2,0.8,6.35
29.,Costa-Rica,3.7,0.3,2.3,1,6.26
30.,Wales,2.7,0,1.7,1,6.25
31.,Canada,2.7,0,2,0.7,6.21
32.,Qatar,1.7,0.3,0.7,0.7,6.14
,,,,,,
