No.,Team,Goals,Shoot-pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1.,France,16,14.6,80,51.5,84.3,15.1,6.91
2.,England,13,12.6,10,63.6,87.9,12,6.89
3.,Netherlands,10,8.4,90,53.2,84.2,16,6.74
4.,Argentina,15,14.3,160,57.2,86.1,12.3,6.74
5.,Brazil,8,19.2,60,55.2,88.2,9,6.74
6.,Spain,9,12.3,20,76.8,90.9,10.3,6.72
7.,Germany,6,23,30,59.8,87.3,12.3,6.70
8.,Croatia,8,11.3,80,54.4,85.7,12.6,6.69
9.,Portugal,12,13.2,60,60.9,85.7,13.2,6.67
10.,Cameroon,4,9.3,61,41.7,79.0,14.3,6.67
11.,Tunisia,1,10.7,50,43.3,76.2,16,6.60
12.,Poland,3,7.8,70,36.6,77.4,13,6.59
13.,Uruguay,2,11,80,48.5,77.9,17.7,6.59
14.,Belgium,1,11.7,50,57.4,86.7,11,6.58
15.,Morocco,6,8.7,71,38.4,80.7,10.3,6.58
16.,USA,3,11.3,50,53.2,84.5,13.8,6.53
17.,Ecuador,4,10,30,53.2,80.7,16.7,6.52
18.,Mexico,2,13.7,70,53.6,78.8,16,6.52
19.,Japan,5,11,60,34.7,77.5,14.8,6.52
20.,Denmark,1,11.3,50,60.4,84.2,17,6.50
21.,South-Korea,5,12.5,60,47.9,83.0,18.3,6.50
22.,Senegal,5,13,70,45.0,79.8,18.3,6.48
23.,Iran,4,11,70,35.9,71.5,14.3,6.47
24.,Australia,4,6.5,70,37.3,75.9,18.3,6.45
25.,Ghana,5,8.7,80,41.9,80.2,12.3,6.45
26.,Saudi-Arabia,3,9.7,140,44.6,73.7,15.7,6.42
27.,Serbia,5,10.7,120,51.0,79.9,14.3,6.42
28.,Switzerland,5,9.3,90,48.9,82.5,11.3,6.35
29.,Costa-Rica,3,4,60,30.2,76.2,12.7,6.26
30.,Wales,1,8,51,45.8,77.5,14,6.25
31.,Canada,2,11.7,80,52.3,84.5,10,6.21
32.,Qatar,1,6.7,70,43.1,81.3,12.3,6.14
