No.,Team,Shots-pg,Tackles-pg,Interceptions-pg,Fouls-pg,Offsides-pg,Rating
1.,France,11.4,20.7,10.9,9.9,2.3,6.91
2.,England,8.6,13,7.6,10.6,1,6.89
3.,Netherlands,13.2,18.2,10.4,17.4,1.6,6.74
4.,Argentina,6.3,17.6,7.4,14.3,3.3,6.74
5.,Brazil,7,17.6,8,12.6,1.6,6.74
6.,Spain,5.8,13.3,4.8,10.3,2.8,6.72
7.,Germany,9,16.7,7,8.7,4,6.70
8.,Croatia,12,18.9,7.6,12.9,1.6,6.69
9.,Portugal,10.4,13.2,7,11,2.8,6.67
10.,Cameroon,14.3,14,13.3,10.7,0.7,6.67
11.,Tunisia,10,21.3,8.3,13.3,2.3,6.60
12.,Poland,16.5,16,7.5,11.8,0.3,6.59
13.,Uruguay,10.7,17,10.7,11.3,1,6.59
14.,Belgium,14.3,16,5.7,10,1,6.58
15.,Morocco,10.1,18.4,9.7,13.7,2.7,6.58
16.,USA,7.5,13,6.3,11.3,1.3,6.53
17.,Ecuador,7,15.3,9.3,16.7,2.7,6.52
18.,Mexico,7,16.7,8.3,17,4.3,6.52
19.,Japan,14.8,17.5,8.5,14.5,2.3,6.52
20.,Denmark,14,14,7.7,9.3,1.7,6.50
21.,South-Korea,12,14.8,7.8,11.3,1.8,6.50
22.,Senegal,9.3,10.8,7.8,12,2,6.48
23.,Iran,11.7,17.7,14,12.7,2,6.47
24.,Australia,16,14.5,10,13,0.3,6.45
25.,Ghana,15,18,6.3,15.3,1.3,6.45
26.,Saudi-Arabia,16.7,15.7,10.3,18.7,1,6.42
27.,Serbia,16.7,17.7,7.3,14.3,1.3,6.42
28.,Switzerland,12,12,6,13.3,1.5,6.35
29.,Costa-Rica,20.7,22.3,10.3,8,4.3,6.26
30.,Wales,15,13.3,7,11.7,1.3,6.25
31.,Canada,9.3,13.7,6,11,2.7,6.21
32.,Qatar,10.7,12.7,8,10.3,2.3,6.14
,,,,,,,
