0,1,2,3
No.,Team,Captain,Coach
1,Argentina,Lionel Messi,Lionel Scaloni
2,Belgium,Eden Hazard,Roberto Martinez
3,Brazil,Thiago Silva,Tite
4,Croatia,Luka Modric,Zlatko Dalic
5,Denmark,Simon Kjaer,Kasper Hjulmand
6,England,Harry Kane,Gareth Southgate
7,France,Hugo Lloris,Didier Deschamps
8,Germany,Hansi Flick,Manuel Neuer
9,Iran,Ehsan Hajsafi,Dragon Skocic
10,Netherlands,Virgil van Dijk,Louis vs.. Gaal
11,Serbia,Dusan Tadic,Dragan Stojkovic
12,Spain,Sergio Busquets,Luis Enrique
13,Switzerland,Granit Xhaka,Murat Yakin
14,South Korea,Son Heung-min,Paulo Bento
15,Qatar,Hassan Al- Haydos,Feliz Sanchez
16,Senegal,Kalidou Koulibaly,Aliou Cisse
17,Ecuador,Enner Valencia,Gustavo Alfaro
18,Portugal,Cristiano Ronaldo,Fernando Santos
19,USA,Christian Pulisic,Gregg Berhalter
20,Polland,Robert Lewandowski,Czeslaw Michniewicz
21,Tunisia,Youssef Msakni,Jalel Kadri
22,Canada,Atiba Hutchinson,John Herdman
23,Morocco,Romain Saiss,Vahid Halilhodzic
24,Cameroon,Vincent Aboubakar,Robert Song
25,Ghana,Andre Ayew,Otto Addo
26,Uruguay,Diego Godin,Diego Alonso
27,Japan,Maya Yoshida,Hajime Moriyasu
28,Mexico,Andres Guardado,Gerardo Martino
29,Saudi Arabia,Salman-Al-Faraj,Herve Renard
30,Australia,Mathew Ryan,Graham Arnold
31,Wales,Gareth Bale,Ryan Giggs
